ITEM,EMISSIONS_FACTOR
"coconut, immature kernel, fresh",1.296
"coconut, kernel, dried",0.773
"coconut, ripe kernel, fresh",0.727
cod (f),0.404
cod fish stick,2.940
cod liver oil,0.615
"cod, fillet, breaded, raw",4.183
"cod, fillet, raw",7.351
"cod, liver, canned",10.615
"cod, liver, raw",2.527
"cod, liver, smoked",3.655
"cod, raw",2.736
"cod, roasted/baked",5.496
"cod, roe, canned",6.480
"cod, roe, raw",9.100
"cod, salted, dried",5.349
"cod, steamed",7.790
coffee,27.817
"coffee bean, roasted, ground",3.710
coffee drip filtered (l),1.372
coffee green,0.584
coffee ground,3.414
coffee parchment,6.178
coffee soluble powder (l),0.965
"coffee with milk or cappuccino with chocolate, powder, instant",0.442
"coffee with milk or cappuccino, powder, instant",5.170
"coffee with milk or white coffee or cappuccino, instant coffee or not, without sugar, ready-to-drink",2.309
"coffee, ground",3.129
"coffee, instant, powder",0.713
"coffee, powder, instant",12.720
"cola, with sugar",2.257
"cola, with sugar and artificial sweetener(s)",0.255
"cola, with sugar and without caffeine",0.903
"cola, without sugar and with artificial sweetener(s)",0.918
cold buttermilk soup,0.722
cold chocolate,1.980
"coleslaw, w sauce, prepacked",1.490
combined oil (blended vegetable oils),3.330
combined oil (mix of olive oil and seeds oil),3.105
"common anchovy, marinated",1.866
"common anchovy, raw",1.331
"common dab, raw",4.268
"common dentex, raw",1.767
"common sole, boiled/cooked in water",2.386
"common sole, fried",1.158
"common sole, grilled",4.122
"common sole, raw",3.457
"common sole, roasted/baked",3.857
"common sole, steamed",3.352
"comtâˆšÂ© cheese, from cow's milk",1.574
"condensed milk, with sugar, whole",3.226
"condensed milk, without sugar, whole",0.816
"cone, wafer for ice cream",3.850
"conger, raw",7.035
"cooked ham, choice",5.330
breakfast ham,1.385
"cooked ham, choice, w rind",0.526
"cooked ham, smoked",1.701
"cooked ham, superior quality",4.851
"cooked ham, superior quality, reduced salt",5.547
"cooked ham, superior quality, rind less",3.239
"cooked ham, superior quality, rind less and fatless",3.538
"cooked ham, superior quality, with rind",4.857
"cooked pork shoulder, choice",2.067
"cooked pork shoulder, standard, rind less and fatless",2.878
"cooked sausage, pure pork",3.230
"cookie, truffle product / unbaked, industrially produced",3.173
coppa,13.925
"coriander, fresh",2.628
"coriander, seed",1.054
corn canned,2.887
corn chips or tortilla chips,2.934
corn cob,1.035
"corn flakes, average values",0.601
corn flour,1.941
"corn or maize grain, raw",0.564
"corn tortilla wrap, to be filled",1.066
"corn, in can",1.760
cornflakes,1.915
cornichons,2.939
"cos or romaine lettuce, raw",0.668
cotton,1.720
cottonseed oil,2.522
"country-style bread, french bread (baguette or ball)",1.739
"country-style bread, home-made (with flour for bread making machine)",0.256
country-style pâˆšÂ¢tâˆšÂ© or terrine,2.638
country-style pâˆšÂ¢tâˆšÂ© with mushrooms,3.276
courgette,1.482
"courgette or zucchini, pulp and peel, cooked",2.327
"courgette or zucchini, pulp and peel, frozen, raw",1.690
"courgette or zucchini, pulp and peel, raw",0.482
"courgettes, puree",1.166
"couscous (durum wheat semolina pre-cooked with steam), cooked, unsalted",0.881
"couscous (durum wheat semolina pre-cooked with steam), raw",1.437
couscous royal (with different meats),2.167
couscous w chicken,3.216
couscous w fish,1.975
couscous w meat,4.056
couscous w mutton,7.844
"couscous with meat or chicken, light",1.451
couscous with vegetables,1.341
cowpea,2.955
cowpeas,1.515
"crab claws, meat, raw",15.869
"crab, boiled",3.223
"cracker, baked",2.316
"cranberries, dried",1.660
cranberry,1.167
cranberry juice (i),1.055
"cranberry, raw",0.821
"crayfish, raw",2.689
cream,3.893
cream (organic),2.727
"cream pastry, layer cake",0.633
cream sauce,1.581
cream sauce for pizza base,2.570
cream sauce with herbs,1.621
"cream sauce with mushrooms, prepacked",4.939
"cream sauce with shallots, prepacked",3.047
cream sauce with spices,1.711
"cream substitute, based on oat",0.514
"cream, cultured, 18 % fat",1.016
"cream, whipping, 38 % fat",3.270
"crepe filled with chocolate, prepacked",4.712
"crepe filled with strawberries, prepacked",1.869
"crepe filled with sugar, prepacked",2.326
"crepe or buckwheat crepe, filled with cheese and bechamel sauce",2.077
"crepe or buckwheat crepe, filled with cheese, ham and bechamel sauce",2.367
"crepe or buckwheat crepe, filled with cheese, ham, mushrooms and bechamel sauce",3.115
"crepe or buckwheat crepe, filled with egg, ham and cheese",1.628
"crepe or buckwheat crepe, filled with fish and/or seafood",1.238
"crepe or buckwheat crepe, filled with mushrooms and bechamel sauce",0.820
"crepe or buckwheat crepe, filled with mushrooms and bechamel sauce, cooked",4.407
"crepe or buckwheat crepe, filled with scallops",2.559
"crepe, filled with chocolate or chocolate and hazelnut spread, home-made",1.863
"crepe, filled with ham",4.730
"crepe, filled with jam, home-made",1.420
"crepe, plain, prepacked, refrigerated",1.328
"crepe, plain, prepacked, room temperature",0.823
"cress, garden, raw",0.983
"crevalle jack, raw",1.752
crispbread,1.819
"crispbread, extruded and grilled",1.859
"crispbread, knackebrot, rye, coarse",0.296
"crispy biscuit (cookie), with chocolate, reduced fat",6.969
"crispy biscuit (cookie), without chocolate, reduced fat",3.017
croissant,1.108
croissant filled with ham,1.674
croissant filled with ham and cheese,3.151
"croissant w almonds, from bakery",1.849
"croissant, butter, from bakery",3.730
"croissant, ordinary, from bakery",1.764
"crottin cheese, from goat's milk",1.968
"crottin cheese, from goat's milk, from raw milk",3.685
"crottin de chavignol cheese, from goat's milk",1.302
"crouton with garlic, herbs or onions, prepacked",2.843
croutons,2.276
"croutons, plain, prepacked",0.866
crushed tomato in box,1.136
"crushed tomato, tetra pak 390g",1.636
cucumber,1.345
cucumber (g),1.401
cucumber (organic) with plastic film packaging,1.359
cucumber (organic) without plastic film packaging,2.149
cucumber with plastic film packaging,0.392
cucumber without plastic film packaging,3.211
"cucumber, fresh",1.696
"cucumber, large, pickled",2.771
"cucumber, pickled",0.290
"cucumber, pulp and peel, raw",4.399
"cucumber, pulp, raw",0.887
"cucumber, raw",2.325
"cumin, seed",0.420
cup noodles chicken,1.143
"curd substitute, soya",1.182
"curd, low-fat curd, 10 % fat",2.657
"cured ham, raw, smoked",4.526
"cured ham, raw, smoked, reduced fat",2.637
"curly endive, raw",0.338
"curly kale, cooked",0.285
"curly kale, raw",0.785
"currant, black, raw",3.306
"currant, red, raw",1.699
currants,1.328
curry mayonnaise salad,3.924
curry powder,4.325
"curry sauce, prepacked",0.617
"curry, powder",1.178
"custard cream with caramel sauce, refrigerated",3.546
"custard dessert, caramel, refrigerated",1.126
"custard dessert, chocolate, canned",3.208
"custard dessert, chocolate, refrigerated",2.012
"custard dessert, coffee, refrigerated",2.929
"custard dessert, reduced fat, refrigerated",3.891
"custard dessert, vanilla, canned",1.565
"custard dessert, vanilla, refrigerated",1.204
"custard topped with whipped cream (chocolate, coffee, caramel or vanilla custard), refrigerated",4.377
cuttlefish,5.717
"daal, ready meals",3.527
dairy cereal-based beverage for baby's breakfast,3.404
dairy cereal-based beverage for baby's breakfast from 12 months,1.622
dairy cereal-based beverage for baby's breakfast from 4/6 months,1.961
dairy cereal-based beverage with vegetables for baby's dinner from 4/6 months,1.226
"dairy dessert for baby, custard type",1.925
"dairy dessert for baby, plain with sugar or with fruits",0.946
"dairy dessert for baby, with rice or semolina",0.522
"dairy drink or fermented milk or yogurt, plain, with sugar",1.126
"dairy drink or fermented milk or yogurt, with fruits, with sugar",1.856
"dairy fat 20% fat, light, spreadable, unsalted",16.551
"dairy fat 25% fat, light, spreadable, unsalted",7.212
"dandelion, raw",2.071
"danish pastry, kanelsnegl",2.944
dark chocolate,5.211
"dark chocolate bar, filled with praline",3.851
"dark chocolate bar, less than 70% cocoa",15.158
"dark chocolate bar, more than 40% cocoa, for cooking",4.327
"dark chocolate bar, more than 70% cocoa",2.089
"dark chocolate bar, with dried fruits (nuts, almonds, raisin, praline)",17.064
"dark chocolate bar, with fruits (orange, raspberries, pear)",3.937
"dark chocolate bar, without sugar and with artificial sweeteners",5.960
"dark chocolate, filled with mint confectionery",1.748
dash sparkling lemon (w/ wonky emissions),0.309
date,1.020
"date, pulp and peel, dried",0.715
"dauphine potato, frozen, cooked",2.958
"dauphine potato, frozen, raw",2.999
"dauphinâˆšÂ©-style creamed potatoes ""au gratin""",2.061
"decaffeinated coffee, powder, instant",2.591
"decaffeinated instant coffee, without sugar, ready-to-drink",1.363
"decaffeinated not instant coffee, without sugar, ready-to-drink",1.975
"deep water pink shrimp, raw",3.935
derrick tempranillo rosâˆšÂ© organic,0.274
diamond fish,7.744
"diced mixed vegetables, canned, drained",3.011
"dill, fresh",0.695
"dill, raw",0.470
"diot (sausage from savoy), raw",5.889
dole bananas consumer pack,1.789
dole pineapple chunks,2.783
"doughnut filled with chocolate, prepacked",4.298
"doughnut filled with fruits, prepacked",0.864
doughnut filled with jam,1.406
"doughnut, plain",1.366
dressing,3.089
dried apricots,0.222
"dried egg pasta, cooked, unsalted",1.085
"dried egg pasta, raw",1.234
"dried pasta, cooked, unsalted",3.180
"dried pasta, gluten-free, cooked, unsalted",2.269
"dried pasta, gluten-free, raw",0.391
"dried pasta, wholemeal, cooked, unsalted",0.916
"dried pasta, wholemeal, raw",2.113
dry beans,0.163
dry broad beans,0.770
dry onion,1.227
dry peas,1.626
"dry peppers, pimento or chilli",1.756
dry sausage,7.534
dry sausage w walnuts and/or hazelnuts,1.634
"dry sausage, pure pork",1.974
"dry sausage, pure pork, superior quality",4.039
dry spicy pork sausage with red pepper,3.741
dry-cured ham,3.637
"duchesse potato, frozen, cooked",3.017
"duchesse potato, frozen, raw",0.935
"duck breast fillet, smoked",3.549
"duck egg, raw",3.617
duck fat,1.974
duck meat bone free,2.675
duck meat with bone,1.256
duck mousse,4.902
duck terrine,3.959
"duck with sauce (green pepper sauce, hunter-style sauce,etc.)",5.330
"duck, breast fillet",1.550
"duck, flesh only, raw",0.473
"duck, leg, meat and skin, raw",3.683
"duck, meat and skin, raw",0.431
"duck, meat, raw",4.125
"duck, meat, roasted/baked",4.652
dulce de leche or confiture de lait,1.209
"dumplings, average values",1.070
"dumplings, frozen",1.412
"dumplings, steamed, with shrimps, cooked",2.516
durum wheat,0.940
"durum wheat semolina, raw",2.499
"durum wheat, whole, raw",0.938
"early potato, boiled/cooked in water, peeled",0.565
eclair,4.299
"edam cheese, from cow's milk",2.028
edamame beans,1.680
egg,2.344
egg pasta,5.105
egg roll or nem,3.629
egg salad,3.372
"egg white, cooked",2.223
"egg white, powder",2.199
"egg white, raw",0.520
"egg yolk, cooked",3.869
"egg yolk, powder",2.875
"egg yolk, raw",0.998
"egg, hard-boiled",2.158
"egg, poached",0.610
"egg, powder",1.626
"egg, raw",2.982
"egg, scrambled, with added fat",1.437
"egg, soft-boiled",4.755
eggplant,3.068
eggplant (g),2.337
eggplant au gratin (oven grilled),1.195
"eggplant, cooked",3.729
"eggplant, raw",3.663
eggs,2.929
"eggs, chicken, free-range hens (indoor), raw",2.807
"elderberry, berries, raw",1.863
"elderberry, juice, concentrated, sugar added",1.515
"elderberry, raw",0.711
"emmental cheese, from cow's milk",2.698
"emmental cheese, grated, from cow's milk",8.618
emu bone free meat,0.817
energy drink,2.457
"energy drink, with sugar",1.418
"energy drink, without sugar and with artificial sweetener(s)",0.858
"english muffin, prepacked",3.264
"english muffin, wholewheat flour, prepacked",1.816
escalope cordon bleu (topped with a ham slice and gruyere sauce),5.208
escaroles,0.799
espresso (l),2.428
"espresso coffee, not instant coffee, without sugar, ready-to-drink",0.678
"european bass, raw",0.555
"european bass, roasted/baked",4.237
"european hake, braised",4.559
"european hake, raw",2.749
"european oyster, raw",2.680
"european perch, raw",1.930
"european perch, roasted/baked",4.705
"european pilchard or sardine, fillets without fishbone, in olive oil, canned, drained",3.999
"european pilchard or sardine, grilled",1.858
"european pilchard or sardine, in oil, canned, drained",3.085
"european pilchard or sardine, in olive oil, canned, drained",1.119
"european pilchard or sardine, in tomato sauce, canned, drained",3.473
"european pilchard or sardine, raw",1.020
european plaice (pleuronectes platessa),9.032
"european plaice, breaded, fried",2.969
"european plaice, raw",1.569
"european plaice, steamed",8.944
"european sprat, raw",0.350
exotic fruit (g),0.732
exotic fruit (i),2.955
extra virgin olive oil,2.124
fajitas,1.403
falafel,2.426
falafel mince,1.044
"falafel, fried",3.061
"falafel, frost",1.563
fennel,0.174
"fennel, boiled/cooked in water",0.269
"fennel, raw",0.341
"fennel, root, raw",3.249
"fennel, seed",0.656
"fenugreek, seed",1.017
"fermented milk drink, plain, skimmed milk",1.649
"fermented milk drink, plain, whole milk",1.426
feta cheese,26.996
"feta cheese, from ewe's milk",0.197
feta-type cheese from cow's milk,2.827
"feta-type cheese from cow's milk, in oil and spices",2.838
fibre crops (permanent),0.586
fig,3.150
fig juice (i),0.471
"fig, dried",1.540
"fig, raw",0.190
"firm cheese, around 14% fat, maasdam-type cheese, reduced fat",2.755
"firm cheese, around 27% fat, maasdam-type cheese",4.358
"fish and shrimp 'au gratin', previously frozen",3.749
"fish balls, canned",5.773
fish brandade or fish shepherd's pie,6.914
"fish cake, fried",7.595
"fish fillet, breaded, deepfried",7.742
"fish fingers, breaded, frozen",3.129
fish mixed,5.356
fish on skewer,11.578
"fish or seafood au gratin, intended to be cook",8.306
fish or seafood in puff pastry,1.452
"fish pudding, raw",0.643
"fish quenelle, in sauce",5.701
fish stick (f),0.437
fish terrine,4.915
fish w bordelaise sauce,3.483
"fish, breaded, fried",7.589
"fish, breaded, frozen, raw",4.666
"fish, croquette, fritter or nuggets, fried",3.909
"fish, in sauce, frozen",3.340
"fish, wild-catch, fresh",3.112
"flageolet bean, canned, drained",1.468
"flageolet bean, frozen",0.976
"flageolet bean, green, cooked",0.957
"flageolet bean, green, dried",0.525
flamed tart (thin-crusted onion tart with cream and lardoons),3.865
flan tart with eggs,0.278
"flan with eggs, refrigerated",2.145
"flat bean, raw",0.404
flavored crackers,0.252
flavoured cider,1.599
flax for fibre,2.204
flax seed,1.963
flax seeds,1.154
flaxseed,1.001
"flaxseed, brown",1.965
florentine biscuit (chocolate sweet biscuit (cookie) with almonds),4.252
foam sweets,0.809
"focaccia, filled",2.433
"food grain, kamut",1.908
fork beard,4.057
"fougasse, filled",0.456
"fourme d'ambert cheese, from cow's milk",1.835
fourme de montbrison cheese,7.360
frankfurter sausage,4.587
"french bean by plane, raw",0.556
"french bean, canned, drained",1.361
"french bean, cooked",2.342
"french bean, frozen, cooked",0.365
"french bean, frozen, raw",1.801
"french bean, puree",1.535
"french bean, raw",0.814
french beans,0.903
"french fries or chips, frozen, deep-fried",2.382
"french fries or chips, frozen, raw, intended to be deep-fried",2.625
"french fries or chips, frozen, raw, intended to be microwaved",0.971
"french fries or chips, frozen, raw, intended to be roasted/baked",2.195
"french fries or chips, frozen, roasted/baked",0.794
"french fries, deepfried, fast food",3.213
"french fries, frost",2.656
french toast,3.234
fresh cream cheese cake,1.203
"fresh cream cheese, plain, around 3% fat",2.236
"fresh cream cheese, plain, creamy, around 8% fat",4.706
"fresh cream cheese, plain, fat free",2.229
"fresh cream cheese, with fruits, creamy, with sugar, around 7% fat",1.795
"fresh egg pasta, cooked, unsalted",1.430
"fresh egg pasta, raw",0.985
"fresh pasta, fettucine spinach",3.655
"fresh pasta, stuffed with cheese (e.g. ravioli), cooked",2.150
"fresh pasta, stuffed with cheese (e.g. ravioli), raw",4.439
"fresh pasta, stuffed with cheese and vegetables (e.g. ravioli), cooked",4.757
"fresh pasta, stuffed with cheese and vegetables (e.g. ravioli), raw",2.731
"fresh pasta, stuffed with meat (e.g. bolognese-style ravioli), cooked",12.213
"fresh pasta, stuffed with meat (e.g. bolognese-style ravioli), raw",11.719
